words,count_up,count_down,total,polarity_score
숙박업/NNG,31.0,26.0,57.0,1.6511180938150665
상호/NNG,85.0,81.0,166.0,1.4531943398372351
자산/NNG;증가/NNG,16.0,12.0,28.0,1.846411631793193
규제가격/NNG,24.0,10.0,34.0,3.3235409372277465
교외/NNG,22.0,5.0,27.0,6.093158384917536
순서/NNG,59.0,53.0,112.0,1.5415795227707316
대각선/NNG,13.0,13.0,26.0,1.3848087238448945
최상위/NNG,55.0,51.0,106.0,1.4934211727739055
기대/NNG;낮/VV,17.0,14.0,31.0,1.681553450383086
여행지/NNG,24.0,1.0,25.0,33.235409372277466
금전/NNG,12.0,11.0,23.0,1.5107004260126122
회사채신속인수제/NNG,27.0,8.0,35.0,4.673729442976518
현물환/NNG,48.0,47.0,95.0,1.4142727392458496
준다/VV,24.0,24.0,48.0,1.3848087238448945
불확실성/NNG;해소/NNG,44.0,41.0,85.0,1.4861361914433016
인수금액/NNG,16.0,11.0,27.0,2.014267234683483
주택담보대출/NNG;증가/NNG,11.0,11.0,22.0,1.3848087238448947
하반/NNG,51.0,23.0,74.0,3.0706628224386794
가산/NNG,51.0,41.0,92.0,1.7225669491729176
내수주/NNG,16.0,6.0,22.0,3.692823263586386
바짝/MAG,10.0,10.0,20.0,1.3848087238448945
녹록/NNG;않/VX,21.0,14.0,35.0,2.0772130857673416
제법/MAG,23.0,17.0,40.0,1.8735647440254457
비리/NNG,24.0,24.0,48.0,1.3848087238448945
潮流/NNG,37.0,1.0,38.0,51.23792278226109
사료/NNG,16.0,13.0,29.0,1.704379967809101
말라/VV,14.0,9.0,23.0,2.1541469037587246
두기/NNG,23.0,7.0,30.0,4.550085806918939
스퀘어/NNG,36.0,19.0,55.0,2.623848108337695
정규/NNG,30.0,21.0,51.0,1.9782981769212775
결정지/VV,11.0,10.0,21.0,1.523289596229384
치발/NNG,13.0,9.0,22.0,2.0002792677759587
유가/NNG;불안/NNG,17.0,17.0,34.0,1.3848087238448945
발동/NNG,84.0,32.0,116.0,3.635122900092848
건설/NNG,1688.0,1696.0,3384.0,1.3782766072229846
주식담보대출/NNG,13.0,8.0,21.0,2.250314176247953
수요/NNG;압력/NNG,13.0,7.0,20.0,2.571787629997661
관찰대상국/NNG,15.0,9.0,24.0,2.30801453974149
고용/NNG;감소/NNG,22.0,12.0,34.0,2.53881599371564
안녕/NNG,50.0,16.0,66.0,4.327527262015295
창출력/NNG,70.0,48.0,118.0,2.0195127222738045
순이익률/NNG,16.0,9.0,25.0,2.461882175724257
송금/NNG,26.0,26.0,52.0,1.3848087238448945
우크라이나사태/NNG,34.0,29.0,63.0,1.6235688486457385
상하단/NNG,22.0,22.0,44.0,1.3848087238448947
피에스/NNG,60.0,61.0,121.0,1.3621069414867817
실업수당/NNG,41.0,28.0,69.0,2.0277556313443097
답변/NNG,669.0,564.0,1233.0,1.6426188586032524
위원수/NNG,23.0,5.0,28.0,6.370120129686514
쿠폰금리/NNG,44.0,39.0,83.0,1.5623483038250094
하도급/NNG,12.0,12.0,24.0,1.3848087238448945
금리/NNG;상승/NNG;우려/NNG,14.0,14.0,28.0,1.3848087238448945
리플레이션/NNG,18.0,9.0,27.0,2.769617447689789
인하/NNG;줄/VV,9.0,8.0,17.0,1.5579098143255063
강력매수/NNG,29.0,22.0,51.0,1.8254296814319064
공습/NNG,29.0,28.0,57.0,1.4342661782679265
가치평가/NNG,16.0,12.0,28.0,1.846411631793193
징수/NNG,10.0,9.0,19.0,1.5386763598276605
요금/NNG;인하/NNG,12.0,10.0,22.0,1.6617704686138732
누증/NNG,37.0,16.0,53.0,3.2023701738913184
농업인/NNG,11.0,8.0,19.0,1.90411199528673
만장/NNG,27.0,14.0,41.0,2.670702538843725
환시/NNG,86.0,90.0,176.0,1.3232616694517878
물가/NNG;상승률/NNG;떨어/VV,10.0,7.0,17.0,1.9782981769212775
다행/NNG,32.0,33.0,65.0,1.342844823122322
카드채/NNG,720.0,706.0,1426.0,1.4122695200684476
유추/NNG,15.0,15.0,30.0,1.3848087238448945
참조/NNG,106.0,95.0,201.0,1.545154997132198
자세히/MAG,22.0,15.0,37.0,2.031052794972512
감행/NNG,15.0,8.0,23.0,2.596516357209177
화물/NNG,22.0,18.0,40.0,1.6925439958104267
편편/NNG,9.0,9.0,18.0,1.3848087238448945
저평/NNG,47.0,39.0,86.0,1.668872051813078
균열/NNG,10.0,7.0,17.0,1.9782981769212775
팽창/NNG,59.0,34.0,93.0,2.403050432554376
경기/NNG;모멘텀/NNG;개선/NNG,16.0,16.0,32.0,1.3848087238448945
세분화/NNG,42.0,20.0,62.0,2.9080983200742785
손해액/NNG,15.0,3.0,18.0,6.924043619224473
운신/NNG,14.0,9.0,23.0,2.1541469037587246
음식료품/NNG,9.0,8.0,17.0,1.5579098143255063
제일/NNG,9.0,8.0,17.0,1.5579098143255063
정국/NNG,14.0,10.0,24.0,1.938732213382852
성장/NNG;둔화/NNG;우려/NNG,11.0,10.0,21.0,1.523289596229384
장기부채/NNG,24.0,24.0,48.0,1.3848087238448945
사회보장/NNG,49.0,37.0,86.0,1.8339358775243195
전망/NNG;경기/NNG;회복/NNG,15.0,11.0,26.0,1.8883755325157652
엘에스엠/NNG,34.0,33.0,67.0,1.426772624567467
아파트실거래가격지수/NNG,10.0,7.0,17.0,1.9782981769212775
순매수비중/NNG,38.0,20.0,58.0,2.631136575305299
기준점/NNG,14.0,10.0,24.0,1.938732213382852
신성장동력/NNG,37.0,22.0,59.0,2.328996490102777
신용스프레드/NNG;소폭/MAG;확대/NNG,15.0,7.0,22.0,2.967447265381917
일치/NNG,89.0,67.0,156.0,1.8395220361521727
윤여/NNG,100.0,80.0,180.0,1.7310109048061175
이어서/MAG,57.0,53.0,110.0,1.4893225897954523
상호금융/NNG,22.0,22.0,44.0,1.3848087238448947
두렵/VA,17.0,12.0,29.0,1.9618123587802672
통화/NNG;약세/NNG,35.0,35.0,70.0,1.3848087238448945
기울여야/VV,14.0,7.0,21.0,2.769617447689789
중소기업진흥공단/NNG,27.0,25.0,52.0,1.495593421752486
지날수록/VV,12.0,11.0,23.0,1.5107004260126122
영업이익/NNG;개선/NNG,14.0,11.0,25.0,1.7624838303480477
전망/NNG;하향/NNG;안정/NNG,11.0,8.0,19.0,1.90411199528673
편향/NNG,22.0,20.0,42.0,1.523289596229384
방만/NNG,11.0,11.0,22.0,1.3848087238448947
납입금/NNG,14.0,12.0,26.0,1.6156101778190437
폴라리스/NNG,101.0,63.0,164.0,2.2200901763227674
여진/NNG,18.0,3.0,21.0,8.308852343069367
금리/NNG;상승/NNG;금리/NNG;상승/NNG,11.0,9.0,20.0,1.6925439958104267
인니/NNG,197.0,189.0,386.0,1.4434249661240437
투자/NNG;축소/NNG,10.0,10.0,20.0,1.3848087238448945
금리/NNG;불안/NNG,9.0,8.0,17.0,1.5579098143255063
조류/NNG,76.0,10.0,86.0,10.524546301221196
투자분석/NNG,14.0,9.0,23.0,2.1541469037587246
주주가치/NNG,21.0,18.0,39.0,1.6156101778190437
재무레버리지/NNG,15.0,4.0,19.0,5.193032714418354
이티/NNG,29.0,19.0,48.0,2.1136554206053653
이슈기업/NNG,18.0,3.0,21.0,8.308852343069367
전약후강/NNG,66.0,32.0,98.0,2.8561679929300947
안정/NNG;효과/NNG,11.0,7.0,18.0,2.176127994613406
이표채/NNG,254.0,238.0,492.0,1.4779051086411898
눈치보/VV,26.0,7.0,33.0,5.143575259995322
유가증권/NNG,360.0,367.0,727.0,1.358395478430959
유량/NNG,11.0,9.0,20.0,1.6925439958104267
긍정적/VAX;영향/NNG;줄/VV,11.0,9.0,20.0,1.6925439958104267
플러스알파/NNG,20.0,1.0,21.0,27.696174476897887
용일/NNG,11.0,11.0,22.0,1.3848087238448947
어쩔/VV,16.0,17.0,33.0,1.303349387148136
시장경제/NNG,10.0,9.0,19.0,1.5386763598276605
회복/NNG;쉽/VA;않/VX,11.0,6.0,17.0,2.53881599371564
유통/NNG,742.0,568.0,1310.0,1.8090282976987884
상관계수/NNG,45.0,23.0,68.0,2.709408372740011
손익분기점/NNG,15.0,13.0,28.0,1.5978562198210322
상용직/NNG,14.0,9.0,23.0,2.1541469037587246
고용자수/NNG;감소/NNG,12.0,10.0,22.0,1.6617704686138732
배달/NNG,20.0,13.0,33.0,2.130474959761376
